Year,Month,Category,Material Type,Weight (lbs)
2023,Jun,Landfill,L-Landfill,"13,820"
2023,Jun,Landfill,L-Landfill,"11,340"
2023,Jun,Landfill,L-Landfill,"17,720"
2023,Jun,Landfill,L-Landfill,"16,980"
2023,Jun,Landfill,L-Landfill,"1,400"
2023,Jun,Landfill,L-Landfill,"2,780"
2023,Jun,Landfill,L-Landfill,"2,140"
2023,Jun,Landfill,L-Landfill,"15,920"
2023,Jun,Landfill,L-Landfill,"17,580"
2023,Jun,Landfill,L-Landfill,"7,900"
2023,Jun,Landfill,L-Landfill,"7,760"
2023,Jun,Landfill,L-Landfill,"5,100"
2023,Jun,Landfill,L-Landfill,"7,820"
2023,Jun,Landfill,L-Landfill,"7,320"
2023,Jun,Landfill,L-Landfill,"7,620"
2023,Jun,Landfill,L-Landfill,"13,460"
2023,Jun,Landfill,L-Landfill,"14,440"
2023,Jun,Landfill,L-Landfill,"6,140"
2023,Jun,Landfill,L-Landfill,"6,760"
2023,Jun,Landfill,L-Landfill,"12,400"
2023,Jun,Landfill,L-Landfill,"15,980"
2023,Jun,Landfill,L-Landfill,"15,420"
2023,Jun,Landfill,L-Landfill,"9,520"
2023,Jun,Landfill,L-Landfill,"1,656"
2023,Jun,Recycle,R-Mixed recycling,"5,820"
2023,Jun,Recycle,R-Mixed recycling,"6,780"
2023,Jun,Recycle,R-Mixed recycling,"8,680"
2023,Jun,Recycle,R-Mixed recycling,"8,640"
2023,Jun,Recycle,R-Mixed recycling,"4,580"
2023,Jun,Recycle,R-Mixed recycling,"12,720"
2023,Jun,Recycle,R-Mixed recycling,"12,280"
2023,Jun,Recycle,R-Mixed recycling,"7,760"
2023,Jun,Recycle,R-Mixed recycling,"7,400"
2023,Jun,Recycle,R-Mixed recycling,"9,000"
2023,Jun,Recycle,R-Mixed recycling,"4,840"
2023,Jun,Recycle,R-Mixed recycling,"4,680"
2023,Jun,Recycle,R-Mixed recycling,262
2023,Jul,Compost,C-Foodscraps,"72,000"
2023,Jul,Compost,C-Organics,"48,600"
2023,Jul,Recycle,R-Mixed recycling,262
2023,Jul,Landfill,L-Landfill,"1,656"
2023,Jul,Compost,C-Yardwaste,"9,820"
2023,Jul,Compost,C-Yardwaste,"9,760"
2023,Jul,Compost,C-Yardwaste,"8,300"
2023,Jul,Landfill,L-Landfill,"11,240"
2023,Jul,Landfill,L-Landfill,"12,080"
2023,Jul,Landfill,L-Landfill,"4,980"
2023,Jul,Landfill,L-Landfill,"10,980"
2023,Jul,Recycle,R-Mixed recycling,"6,260"
2023,Jul,Recycle,R-Mixed recycling,"8,040"
2023,Jul,Recycle,R-Mixed recycling,"14,860"
2023,Jul,Recycle,R-Mixed recycling,"9,600"
2023,Aug,Compost,C-Foodscraps,"72,000"
2023,Aug,Compost,C-Organics,"48,600"
2023,Aug,Recycle,R-Mixed recycling,262
2023,Aug,Landfill,L-Landfill,"1,656"
2023,Sep,Compost,C-Yardwaste,"11,180"
2023,Sep,Compost,C-Yardwaste,"8,660"
2023,Sep,Compost,C-Yardwaste,"8,020"
2023,Sep,Compost,C-Yardwaste,"6,280"
2023,Sep,Compost,C-Yardwaste,"6,880"
2023,Sep,Landfill,L-Landfill,"10,840"
2023,Sep,Landfill,L-Landfill,"8,400"
2023,Sep,Landfill,L-Landfill,"10,800"
2023,Sep,Landfill,L-Landfill,"11,680"
2023,Sep,Landfill,L-Landfill,"10,800"
2023,Sep,Landfill,L-Landfill,"11,120"
2023,Sep,Landfill,L-Landfill,"16,080"
2023,Sep,Landfill,L-Landfill,"16,680"
2023,Sep,Recycle,R-Mixed recycling,"6,880"
2023,Sep,Recycle,R-Mixed recycling,"4,040"
2023,Sep,Recycle,R-Mixed recycling,"10,340"
2023,Sep,Recycle,R-Mixed recycling,"11,360"
2023,Sep,Recycle,R-Mixed recycling,"13,600"
2023,Sep,Recycle,R-Mixed recycling,"7,880"
2023,Sep,Recycle,R-Mixed recycling,"10,440"
2023,Sep,Recycle,R-Mixed recycling,"9,120"
2023,Oct,Compost,C-Foodscraps,"72,000"
2023,Oct,Compost,C-Organics,"48,600"
2023,Oct,Recycle,R-Mixed recycling,262
2023,Oct,Landfill,L-Landfill,"1,656"
2023,Nov,Compost,C-Yardwaste,"9,480"
2023,Nov,Compost,C-Yardwaste,"13,800"
